频道,#genre#
汕头综合,http://jyjxy.7766.org:8811/hls/24/index.m3u8
汕头综合,http://player.200877926.top/169l/0/tide/tidem3u6.php?id=stxwzh
汕头综合高清,http://nas147.myds.me:8888/udp/239.77.1.130:5146
汕头综合高清,http://www.kitcc.cn:8887/rtp/239.253.43.45:5146
汕头经济生活高清,http://nas147.myds.me:8888/udp/239.77.1.131:5146
汕头经济生活高清,http://ys.rgood.xyz:8899/udp/239.253.43.46:5146
汕头文旅体育高清,http://nas147.myds.me:8888/udp/239.253.43.47:5146
汕头文旅体育高清,http://ys.rgood.xyz:8899/udp/239.253.43.47:5146
汕头综合高清,http://www.kitcc.cn:8887/rtp/239.253.43.45:5146$高清v4
汕头综合高清,http://www.kitcc.cn:8887/rtp/239.77.1.130:5146$高清v4
汕头文旅体育高清,http://www.kitcc.cn:8887/rtp/239.253.43.47:5146$高清v4
汕头经济生活高清,http://www.kitcc.cn:8887/rtp/239.77.1.131:5146$高清v4
